Name_EL;Name_EN;X;Y;Z;P
ΑΒΔΟΥ;AVDOU;630233;3899448;230;1292
ΑΓΙΑ ΒΑΡΒΑΡΑ;AGIA VARVARA;590910;3887874;570;959.3
ΑΓΙΟΣ ΚΥΡΙΛΛΟΣ;AGIOS KYRILLOS;583036.3;3870700;450;389
ΑΡΜΑΧΑ;ARMAXA;622749.8;3891949;450;894.9
ΑΣΗΜΙ;ASIMI;600049.1;3877943;200;495.5
ΑΧΕΝΤΡΙΑΣ;AXENTRIAS;612352;3873325;680;628.4
ΒΑΓΙΩΝΙΑ;VAGIONIA;591040;3874936;190;387.2
ΒΟΝΗ;VONI;613595;3895526;330;864
ΒΟΡΙΖΙΑ;VORIZIA;577228;3889597;520;1217.9
ΓΕΡΓΕΡΗ;GERGERI;584536;3887230;450;1048
ΔΕΜΑΤΙ;DEMATI;617026;3877270;210;562.2
ΖΑΡΟΣ;ZAROS;581799;3887788;500;1003.5
ΚΑΛΥΒΙΑ;KALYVIA;612261;3880719;200;531.1
ΚΑΠΕΤΑΝΙΑΝΑ;KAPETANIANA;594138;3869421;800;624.8
ΚΑΣΣΑΝΟΙ;KASSANOI;620116;3884740;320;577.1
ΚΑΣΤΕΛΙ;KASTELI;621158;3897473;350;870.5
ΚΑΨΑΛΟΙ;KAPSALOI;626716;3873280;10;446.8
ΚΡΟΥΣΩΝΑΣ;KROUSWNAS;589276;3898390;500;1078
ΛΑΓΟΛΙΟ;LAGOLIO;571666;3884860;140;644.2
ΜΕΤΑΞΟΧΩΡΙ;METAKSOXORI;603058;3888005;430;877.6
ΜΟΡΟΝΙ;MORONI;582134;3883486;400;702.1
ΠΑΡΤΗΡΑ;PARTIRA;611476;3886360;400;692.4
ΠΟΜΠΙΑ;POMPIA;578536;3874150;150;396
ΠΡΑΙΤΩΡΙΑ;PRAITORIA;604705;3876931;225;490
ΠΡΟΦΗΤΗΣ ΗΛΙΑΣ;PROFITIS ILIAS;600316;3896140;380;938.9
ΤΕΦΕΛΙ;TEFELI;605866;3883420;360;732
ΦΟΙΝΙΚΙΑ;FOINIKIA;600526;3904810;40;917.5
ΗΡΑΚΛΕΙΟ;IRAKLEIO;600886;3910990;15;493.6
